short_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,league_level,position,club_jersey_number,nationality_id,nation_team_id,nation_jersey_number,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
M. Salah,89,89,101000000,270000,29,175,71,9,1,RW,11,111,,,3,4,4,186900000,90,87,81,90,45,75,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,82,69,85,75,84,63,55,91,83,86,90,38,43,41,14,14,9,11,14,
Ederson,89,91,94000000,200000,27,188,86,10,1,GK,31,54,,,3,1,3,181000000,,,,,,,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,64
J. Kimmich,89,90,108000000,160000,26,177,75,21,1,RDM,6,21,1337,6,4,3,4,186300000,70,73,86,84,83,79,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,78,79,94,68,84,89,84,80,85,44,85,85,85,79,8,15,7,15,15,
Alisson,89,90,82000000,190000,28,191,91,9,1,GK,1,54,,,3,1,3,157900000,,,,,,,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,63,52,32,78,14,27,11,13,66,23,65,15,19,16,86,86,84,90,89,52
G. Donnarumma,89,93,119500000,110000,22,196,90,73,1,GK,50,27,1343,21,3,1,3,230000000,,,,,,,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,59,72,34,72,18,30,26,14,60,24,68,20,14,16,91,83,79,85,90,52
Sergio Ramos,88,88,24000000,115000,35,184,82,73,1,LCB,4,45,1362,15,3,3,4,44400000,70,70,76,74,88,84,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,79,93,78,84,64,90,87,73,71,92,88,84,89,91,11,8,9,7,11,
L. Su?rez,88,88,44500000,135000,34,182,83,240,1,RS,9,60,,,4,3,5,91200000,72,90,82,84,47,83,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,89,69,78,85,88,87,41,91,84,83,87,42,45,38,27,25,31,33,37,
T. Kroos,88,88,75000000,310000,31,183,76,243,1,LCM,8,21,,,5,3,4,153800000,53,81,91,81,71,68,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,90,73,88,71,73,60,10,11,13,7,10,
R. Lukaku,88,88,93500000,260000,28,191,94,5,1,ST,9,7,1325,9,4,3,4,173000000,84,87,74,78,39,83,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,89,76,71,95,74,71,27,89,75,88,86,30,41,30,8,15,14,7,10,
K. Navas,88,88,15500000,130000,34,185,80,73,1,SUB,1,72,,,3,1,3,28700000,,,,,,,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,56,74,39,75,13,32,22,16,68,25,67,28,14,14,89,84,75,87,89,54
R. Sterling,88,89,107500000,290000,26,170,69,10,1,SUB,7,14,1318,10,3,4,4,206900000,91,82,79,87,45,66,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,78,57,79,64,83,59,30,91,82,67,78,47,53,47,15,12,12,15,9,
Bruno Fernandes,88,89,107500000,250000,26,179,69,11,1,CAM,18,38,1354,11,3,4,3,206900000,75,86,89,84,70,77,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,89,73,91,70,89,78,66,87,90,91,87,72,73,65,12,14,15,8,14,
E. Haaland,88,93,137500000,110000,20,194,94,22,1,RS,9,36,1352,23,3,3,4,244100000,89,91,65,80,45,88,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,94,74,82,93,87,85,43,89,71,76,84,44,43,30,7,14,13,11,7,
S. Ag?ero,87,87,51000000,260000,33,173,70,241,1,ST,19,52,1369,9,4,4,4,104600000,71,89,75,87,33,69,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,74,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14,
H. Lloris,87,87,13500000,125000,34,188,82,18,1,GK,1,18,1335,1,1,1,4,25700000,,,,,,,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,49,74,41,43,14,31,27,10,50,40,65,29,10,18,88,83,65,84,90,61
L. Modri?,87,87,32000000,190000,35,172,66,243,1,RCM,10,10,,,4,4,4,65600000,73,76,89,88,72,66,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,82,92,70,75,71,13,9,7,14,9,
?. Di Mar?a,87,87,49500000,160000,33,180,69,73,1,SUB,11,52,1369,11,2,5,4,91600000,83,81,86,87,48,69,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,83,73,78,62,86,73,42,84,88,73,86,41,55,52,10,7,11,12,11,
W. Szcz?sny,87,87,42000000,105000,31,195,90,45,1,GK,1,37,1353,1,3,1,3,69300000,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,82,73,87,88,49
T. M?ller,87,87,66000000,140000,31,185,76,21,1,CAM,25,21,,,4,3,4,108900000,67,84,83,80,56,71,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,78,77,86,66,82,62,58,96,85,70,84,47,57,46,6,7,11,14,14,
C. Immobile,87,87,67500000,125000,31,185,85,46,1,ST,17,27,1343,17,4,3,4,114800000,86,87,67,81,39,77,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,86,82,78,76,80,77,40,91,71,88,79,34,33,32,6,8,15,12,6,
P. Pogba,87,87,79500000,220000,28,191,84,11,1,RDM,6,18,1335,6,4,5,4,147100000,71,81,86,86,65,83,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,90,82,77,89,84,78,65,80,89,81,88,59,67,63,5,6,2,4,3,
M. Verratti,87,87,79500000,155000,28,165,60,73,1,LCM,6,27,1343,6,4,4,3,147100000,64,61,87,91,79,67,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,60,67,76,54,58,89,85,78,89,64,94,78,82,84,12,12,15,15,10,
Marquinhos,87,90,90500000,135000,27,183,75,73,1,RCB,5,54,,,3,3,3,174200000,81,53,75,74,89,81,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,65,92,83,78,45,81,88,68,74,52,86,89,89,89,6,6,12,10,13,
L. Goretzka,87,88,93000000,140000,26,189,82,21,1,LDM,8,21,1337,8,4,3,4,160400000,81,82,82,84,81,86,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,79,88,88,86,81,86,85,84,60,82,74,85,77,13,8,15,11,9,
P. Dybala,87,88,93000000,160000,27,177,75,45,1,CAM,10,52,1369,21,3,4,3,160400000,84,86,86,90,40,60,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,84,75,70,61,89,43,42,82,91,84,79,32,41,39,5,4,4,5,8,
A. Robertson,87,88,83500000,175000,27,178,64,9,1,LB,26,42,1359,3,2,3,3,160700000,84,61,81,81,82,76,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,76,62,95,65,65,85,83,77,80,55,83,83,84,81,11,8,10,7,14,
F. de Jong,87,92,119500000,210000,24,180,74,241,1,RCM,21,34,105035,21,3,4,3,253900000,81,69,85,88,77,78,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,
T. Alexander-Arnold,87,92,114000000,150000,22,180,69,9,1,RB,66,14,1318,22,4,3,3,219500000,79,68,88,80,80,72,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,82,66,88,63,75,74,82,77,87,55,81,80,83,79,14,15,14,6,7,
J. Sancho,87,91,116500000,150000,21,180,76,11,1,LM,25,14,1318,17,3,5,3,224300000,81,76,82,91,36,65,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,73,51,77,68,65,44,39,83,87,62,86,32,39,32,7,11,10,11,13,
R?ben Dias,87,91,102500000,170000,24,187,82,10,1,RCB,3,38,1354,4,4,2,3,197300000,61,38,65,68,88,88,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,74,78,88,88,22,92,85,39,51,45,81,90,89,85,7,8,13,7,12,
G. Chiellini,86,86,12000000,88000,36,187,85,45,1,SUB,3,27,1343,3,3,2,4,19800000,68,46,60,59,89,85,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,78,91,71,91,49,88,89,28,50,50,83,93,89,88,3,3,2,4,3,
S. Handanovi?,86,86,7500000,78000,36,193,92,44,1,GK,1,44,,,3,1,3,12800000,,,,,,,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,49,78,41,69,19,25,22,12,41,23,69,25,10,13,81,81,65,92,87,47
M. Hummels,86,86,44000000,95000,32,191,96,22,1,LCB,15,21,,,3,3,4,74800000,56,59,77,73,89,77,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,71,70,66,86,49,71,89,57,80,68,89,90,90,86,15,6,10,5,6,
Jordi Alba,86,86,47000000,200000,32,170,68,241,1,LB,18,45,1362,18,3,3,3,96400000,86,69,81,83,77,71,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,64,80,87,61,66,75,81,83,78,59,80,74,78,80,13,15,13,6,13,
Thiago,86,86,65000000,180000,30,174,70,9,1,LCM,6,45,1362,10,3,5,3,120300000,63,72,86,90,70,66,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,75,80,74,59,73,72,82,75,85,75,88,67,71,68,6,11,7,9,13,
Sergio Busquets,86,86,45000000,200000,32,189,76,241,1,CDM,5,45,1362,5,3,3,4,92300000,42,62,79,80,82,75,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,61,66,78,72,54,81,85,77,83,60,90,84,82,81,5,8,13,9,13,
Parejo,86,86,53500000,64000,32,182,74,483,1,LCM,5,45,,,4,3,2,112400000,50,83,90,81,71,69,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,70,70,69,5,9,12,14,8,
K. Casteels,86,87,52000000,88000,29,197,86,175,1,GK,1,7,,,2,1,3,92300000,,,,,,,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,60,58,44,72,18,33,16,15,42,20,40,11,19,17,85,83,80,84,87,45
L. Insigne,86,86,65500000,125000,30,163,59,48,1,LW,24,27,1343,10,4,4,4,111400000,87,78,85,90,36,45,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,76,50,74,34,82,34,26,81,89,87,81,53,24,22,8,4,14,9,10,
K. Koulibaly,86,86,55500000,105000,30,187,89,48,1,LCB,26,136,,,3,2,3,94400000,81,28,51,65,87,85,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,55,82,70,94,15,83,85,35,52,33,82,90,88,86,7,11,7,13,5,
R. Varane,86,88,68500000,180000,28,191,81,11,1,RCB,19,18,1335,4,3,2,3,131900000,82,49,64,65,87,82,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,52,81,76,86,53,80,85,55,59,43,83,86,88,87,11,11,9,5,14,
R. Mahrez,86,86,65500000,220000,30,179,67,10,1,RW,26,97,,,4,5,3,121200000,81,79,81,90,38,60,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,79,56,75,57,79,48,39,80,84,70,84,45,31,22,15,9,13,11,6,
Gerard Moreno,86,86,68000000,73000,29,180,77,483,1,RS,7,45,1362,9,4,3,2,142800000,79,86,77,84,46,73,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,83,76,79,75,83,61,42,87,78,85,78,44,41,41,15,12,7,12,10,
J. Vardy,86,86,33000000,180000,34,179,74,95,1,ST,9,14,,,4,3,3,62700000,85,84,70,80,52,73,69,90,79,74,84,78,68,60,60,82,85,85,76,91,76,87,80,76,66,67,87,49,92,76,85,88,45,52,54,15,14,7,15,11,
Fabinho,86,88,73500000,165000,27,188,78,9,1,CDM,3,54,,,2,3,3,141500000,67,69,78,78,85,83,75,63,75,84,47,78,71,53,82,81,65,68,64,86,64,81,75,88,81,70,85,87,70,75,90,84,86,87,85,13,12,6,8,8,
Jo?o Cancelo,86,87,71500000,185000,27,182,74,10,1,LB,27,38,1354,20,4,4,3,137600000,85,71,83,84,80,72,86,68,72,85,62,85,84,69,78,85,86,84,80,85,78,80,72,90,62,75,73,80,80,83,46,85,79,82,80,6,9,15,14,14,
A. Laporte,86,89,77000000,185000,27,191,85,10,1,LCB,14,45,1362,24,3,2,3,148200000,63,50,72,69,86,80,58,45,84,82,40,63,61,69,80,78,59,67,57,87,60,68,80,72,84,47,81,87,54,65,44,84,86,87,86,10,11,5,14,5,
K. Coman,86,87,81000000,120000,25,180,76,21,1,SUB,11,18,1335,20,3,4,4,139700000,93,76,79,88,30,60,79,75,61,80,77,89,83,70,74,88,94,93,91,85,84,80,73,69,64,73,35,23,85,81,70,78,29,27,21,5,3,5,3,5,
Bernardo Silva,86,87,80000000,200000,26,173,64,10,1,SUB,20,38,1354,10,3,4,2,154000000,80,76,83,91,54,67,85,77,51,86,70,92,84,67,76,90,83,77,94,84,92,76,51,93,54,76,70,54,83,84,68,87,49,63,45,9,10,14,12,9,
Marcos Llorente,86,89,88000000,95000,26,184,74,240,1,RM,14,45,1362,6,4,3,3,187000000,88,80,81,82,78,82,74,81,67,86,64,82,73,58,83,84,86,90,82,86,69,84,69,90,79,79,83,82,87,86,64,83,79,80,74,13,6,6,11,15,
Rodri,86,89,81000000,175000,25,191,82,10,1,CDM,16,45,1362,16,4,3,3,155900000,61,70,77,78,82,82,63,64,78,85,59,78,65,54,83,82,60,62,65,80,65,83,72,87,82,76,76,83,75,81,46,83,83,84,78,10,10,7,14,8,
M. ?kriniar,86,88,74000000,150000,26,188,80,44,1,RCB,37,43,,,3,2,3,131400000,80,41,53,69,87,84,40,42,81,72,40,67,34,30,49,72,76,84,54,86,56,50,84,79,86,30,84,86,30,46,56,87,90,88,82,10,13,12,8,12,
A. G?mez,85,85,33500000,51000,33,167,68,481,1,LCM,24,52,1369,17,4,4,3,70400000,87,78,84,87,39,55,83,77,38,85,72,85,85,79,80,86,91,83,93,86,93,79,70,75,44,82,56,40,80,86,72,85,50,30,34,8,11,12,9,6,
K. Schmeichel,85,85,9000000,115000,34,189,89,95,1,GK,1,13,1331,1,3,1,2,17100000,,,,,,,18,12,16,44,15,12,13,15,46,40,45,51,61,82,47,60,60,34,64,14,35,20,13,59,26,67,14,14,13,84,78,80,83,90,47
Thiago Silva,85,85,9500000,105000,36,183,79,5,1,SUB,6,54,,,3,2,4,17600000,53,54,72,72,86,78,60,40,81,80,61,67,62,61,80,79,52,54,67,82,66,71,88,68,82,65,76,88,59,71,60,86,87,86,84,9,12,5,9,10,
David Silva,85,85,22000000,44000,35,173,67,457,1,CAM,21,45,,,2,4,4,46200000,63,74,87,87,52,53,83,72,53,90,82,86,82,77,83,90,70,57,84,85,89,72,61,66,45,73,56,50,86,90,75,91,58,53,29,6,15,7,6,12,
Y. Sommer,85,85,26500000,40000,32,183,79,23,1,GK,1,47,,,4,1,3,45100000,,,,,,,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,63,73,45,68,12,38,21,15,64,24,57,9,19,12,79,81,84,86,86,50
E. Cavani,85,85,26000000,190000,34,185,77,11,1,SUB,21,60,,,4,3,4,48100000,66,86,70,76,51,79,68,89,88,75,86,74,76,74,52,81,64,68,68,90,57,87,88,81,77,77,81,54,93,75,85,85,45,48,39,12,5,13,13,10,
E. Hazard,85,85,52000000,240000,30,175,74,243,1,LW,7,7,1325,10,4,4,4,106600000,84,80,82,88,35,63,77,78,61,85,82,89,83,79,81,88,86,82,87,79,89,82,55,77,61,77,54,41,83,84,87,89,34,27,22,11,12,6,8,8,
L. Bonucci,85,85,17500000,110000,34,190,85,45,1,RCB,19,27,1343,19,4,2,3,28900000,64,58,69,72,86,80,44,48,83,81,58,69,56,60,81,79,60,68,59,82,53,74,90,65,86,65,82,86,38,71,70,86,88,85,81,2,2,3,2,4,
P. Gul?csi,85,85,28500000,87000,31,191,86,112172,1,GK,1,23,1886,1,2,1,3,48500000,,,,,,,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,35,74,12,34,23,11,44,24,45,25,16,20,85,84,76,82,86,43
?. G?ndo?an,85,85,51500000,185000,30,180,80,10,1,LCM,8,21,1337,21,4,4,3,95300000,65,80,85,86,73,72,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,11,14,5,5,13,
M. Reus,85,85,43000000,95000,32,180,71,22,1,CAM,11,21,,,4,4,4,73100000,73,84,84,85,47,63,85,84,44,85,85,85,88,85,79,86,76,71,83,86,82,86,68,67,66,83,51,49,85,86,76,85,52,38,54,12,12,13,13,11,
K. Walker,85,85,39000000,170000,31,183,83,10,1,RB,2,14,1318,2,2,3,3,72200000,92,63,76,78,80,82,77,51,74,79,57,79,76,71,77,81,89,94,66,85,69,86,83,86,80,69,84,80,68,69,63,75,77,84,83,12,6,16,15,8,
P. Aubameyang,85,85,43500000,145000,32,187,80,1,1,ST,14,115,,,4,4,3,82700000,89,85,75,80,35,69,76,89,73,77,83,79,81,76,64,81,87,91,77,86,67,82,75,79,74,78,43,48,90,77,83,87,20,29,36,6,9,15,9,9,
Koke,85,85,52500000,90000,29,176,75,240,1,RCM,6,45,1362,8,4,3,3,107600000,70,75,85,81,79,80,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,14,12,5,10,13,
A. Griezmann,85,85,53000000,220000,30,176,73,240,1,LS,17,18,1335,7,3,4,4,,80,84,84,87,52,72,83,84,83,84,86,85,86,85,82,89,80,80,92,89,83,82,90,86,63,83,73,49,89,85,79,90,43,54,49,14,8,14,13,14,
S. de Vrij,85,85,45000000,145000,29,189,78,44,1,CB,6,34,105035,6,3,2,3,76500000,72,41,64,70,87,79,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,
Roberto Firmino,85,85,54000000,185000,29,181,76,9,1,CF,9,54,,,4,5,3,99900000,77,78,79,89,59,78,73,78,78,84,83,89,81,65,76,90,77,77,85,86,86,79,81,87,74,76,75,58,82,83,72,88,55,64,42,8,11,9,6,10,
M. Depay,85,86,63000000,220000,27,176,78,241,1,LW,9,34,105035,10,3,5,3,133900000,82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,
Carvajal,85,85,47500000,210000,29,173,73,243,1,RB,2,45,,,3,3,3,97400000,80,54,78,80,81,80,82,51,72,83,49,78,76,47,74,83,79,80,79,83,81,68,77,89,74,47,84,81,75,74,45,81,82,82,84,13,13,15,9,15,
Jorginho,85,85,52500000,170000,29,180,68,5,1,LCM,5,27,1343,8,3,3,2,97100000,55,67,86,81,73,73,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,14,7,13,14,8,
S. Gnabry,85,86,64500000,110000,25,176,77,21,1,RM,7,21,1337,10,4,4,4,111300000,83,84,79,86,43,69,74,86,42,82,83,88,74,62,78,83,90,77,87,86,88,87,65,78,68,82,63,38,86,83,68,80,45,44,43,14,10,10,9,7,
S. Milinkovi?-Savi?,85,87,66000000,100000,26,191,76,46,1,RCM,21,51,,,5,4,3,117200000,68,79,80,81,79,86,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,7,10,7,16,7,
W. Ndidi,85,88,66500000,120000,24,183,74,95,1,LDM,25,133,,,4,3,1,131300000,67,62,69,74,87,83,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,13,14,7,7,13,
Oyarzabal,85,89,77500000,57000,24,181,79,457,1,LW,10,45,1362,21,3,3,2,168600000,82,82,81,84,41,63,82,84,60,83,74,85,77,71,73,85,83,81,83,81,80,80,72,82,57,81,52,29,85,85,84,83,55,32,30,10,6,10,13,11,
L. Mart?nez,85,89,78000000,145000,23,174,72,44,1,LS,10,52,1369,22,4,4,3,138500000,84,81,72,85,48,84,56,85,87,78,88,83,78,43,73,85,86,83,86,89,89,80,88,80,84,74,86,45,86,81,74,83,55,31,44,11,8,8,8,13,
M. Rashford,85,89,77500000,150000,23,186,70,11,1,SUB,10,14,1318,11,3,5,3,149200000,90,84,79,84,43,77,80,83,68,80,73,86,83,76,71,84,86,93,84,84,75,92,74,86,75,81,73,42,83,81,84,80,45,38,33,11,6,15,7,14,
A. Hakimi,85,88,69500000,100000,22,181,73,73,1,RB,2,129,,,4,3,2,133800000,95,71,78,83,76,78,86,73,68,81,60,84,68,55,73,83,95,95,86,84,79,77,80,91,73,70,75,78,78,75,46,80,75,78,76,10,8,14,6,8,
M. de Ligt,85,90,75000000,81000,21,189,89,45,1,LCB,4,34,105035,3,3,2,3,129400000,73,59,60,69,84,87,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,
Z. Ibrahimovi?,84,84,14500000,51000,39,195,95,47,1,SUB,11,46,1363,7,4,5,5,24700000,65,87,78,79,34,77,72,86,83,80,88,78,80,75,73,86,64,66,71,83,53,88,79,52,87,88,84,20,89,84,83,90,28,37,24,13,15,10,9,12,
Jes?s Navas,84,84,13000000,30000,35,172,60,481,1,RB,16,45,,,2,4,2,27300000,87,69,81,83,79,58,85,65,73,83,75,84,82,46,79,83,90,84,82,84,84,74,63,82,39,70,75,80,81,83,56,82,82,77,79,10,10,15,7,13,
Piqu?,84,84,13500000,175000,34,194,85,241,1,LCB,3,45,,,3,2,4,27700000,58,61,71,68,85,78,57,65,84,80,57,63,58,43,80,80,50,64,57,85,35,62,74,63,86,51,79,85,64,72,69,87,86,85,83,10,11,14,15,8,
D. Mertens,84,84,20500000,105000,34,169,61,48,1,SUB,14,7,1325,14,4,4,3,34900000,85,82,80,88,34,50,73,84,40,84,70,88,82,82,72,88,90,80,93,80,92,80,58,66,37,81,59,36,82,84,79,81,23,40,40,7,10,8,10,4,
